# step time kinetic potential total_energy com_x com_y rms_radius
520 5.2000000000000002 371964.65169900563 -642661.76626400684 -270697.11456500122 -0.094966876231158723 0.095355675209082891 38.295090291280168
530 5.2999999999999998 372762.46840673522 -641142.97072436695 -268380.50231763173 -0.097029742253330664 0.095859181078713523 39.039467755899402
540 5.4000000000000004 378759.79999987478 -645266.86902757757 -266507.06902770279 -0.099092608275504132 0.09636268694834893 39.781961656994021
550 5.5 361159.81708693481 -621962.67452473729 -260802.85743780248 -0.10115547429767671 0.096866192817982213 40.523368805499096
560 5.6000000000000005 352907.98346255766 -611829.07000968372 -258921.08654712606 -0.10321834031984872 0.09736969868761379 41.262692222898146
570 5.7000000000000002 369532.68956576037 -625570.60871544457 -256037.9191496842 -0.10528120634202195 0.09787320455724631 41.99975101530093
580 5.7999999999999998 365448.81347149919 -619834.69036751066 -254385.87689601147 -0.10734407236419477 0.098376710426881231 42.735966365458772
590 5.9000000000000004 360775.21168703493 -611052.694937672 -250277.48325063707 -0.10940693838636717 0.098880216296512433 43.471417737967691
600 6 354389.00361128768 -604485.42581109144 -250096.42219980375 -0.11146980440854 0.099383722166145536 44.205773402307408
610 6.1000000000000005 362326.99309000722 -609489.22250476386 -247162.22941475664 -0.11353267043071448 0.099887228035779346 44.938919776997253
620 6.2000000000000002 371265.15798062657 -616502.61554116255 -245237.45756053599 -0.11559553645288671 0.10039073390541449 45.671709707857474
630 6.2999999999999998 373063.79140775459 -615338.91705200577 -242275.12564425118 -0.11765840247506101 0.10089423977504224 46.405104737739322
640 6.4000000000000004 369611.60250409041 -610838.40567131131 -241226.8031672209 -0.11972126849723266 0.10139774564467828 47.139331622133945
650 6.5 350934.21952815179 -590456.93867899547 -239522.71915084368 -0.12178413451940613 0.10190125151431077 47.873946965334028
660 6.6000000000000005 346335.29126260133 -584319.33508226974 -237984.04381966841 -0.12384700054157946 0.10240475738394501 48.607788036283367
670 6.7000000000000002 358912.00081355462 -594288.60522612813 -235376.60441257351 -0.12590986656375242 0.10290826325357599 49.340708017283497
680 6.7999999999999998 367620.36980555893 -599820.40610445093 -232200.036298892 -0.12797273258592515 0.10341176912321004 50.073810699388837
690 6.9000000000000004 350476.88725345733 -581853.8184515204 -231376.93119806307 -0.13003559860809533 0.10391527499284232 50.807780500400057
700 7 342369.84419942333 -570470.45993337221 -228100.61573394889 -0.13209846463027017 0.10441878086247536 51.541621473920607
710 7.1000000000000005 349238.64682378643 -571724.73127312656 -222486.08444934012 -0.13416133065244265 0.10492228673210861 52.275038080048049
720 7.2000000000000002 354899.75530328811 -575418.24810227437 -220518.49279898626 -0.13622419667461569 0.10542579260173847 53.008710982484217
730 7.2999999999999998 351239.48748161265 -569005.26262218261 -217765.77514056995 -0.1382870626967882 0.10592929847137313 53.743226879146128
740 7.4000000000000004 334841.96997230197 -551857.13680349779 -217015.16683119582 -0.14034992871895927 0.10643280434100608 54.478373897196327
750 7.5 329540.55301044456 -545715.65425848169 -216175.10124803713 -0.14241279474113422 0.10693631021063921 55.213165452529076
760 7.6000000000000005 330456.52223811869 -544867.33136774588 -214410.80912962719 -0.14447566076330889 0.10743981608027192 55.947331619647237
770 7.7000000000000002 326753.70127103891 -540097.50267509918 -213343.80140406027 -0.14653852678548004 0.10794332194990729 56.680970219604973
780 7.7999999999999998 331383.81415380089 -545930.19437821524 -214546.38022441434 -0.14860139280765369 0.10844682781953836 57.413955920914802
790 7.9000000000000004 330312.11663675215 -542562.74226544937 -212250.62562869722 -0.1506642588298267 0.10895033368916909 58.146607119646923
800 8 331618.50326132175 -542981.221522965 -211362.71826164325 -0.15272712485199852 0.10945383955879977 58.878955975350422
810 8.0999999999999996 330109.64054523478 -538756.09302986704 -208646.45248463226 -0.15478999087417061 0.10995734542843572 59.611198777565136
820 8.1999999999999993 326465.60132139624 -533455.2286557731 -206989.62733437686 -0.15685285689634251 0.11046085129806818 60.343402860023772
830 8.3000000000000007 320801.20065012237 -526871.28859921859 -206070.08794909623 -0.15891572291851558 0.11096435716769873 61.075356101420553
840 8.4000000000000004 321423.09428041655 -525497.58365725679 -204074.48937684024 -0.16097858894068881 0.11146786303733849 61.806869142863945
850 8.5 315423.07776014361 -517922.99195719621 -202499.9141970526 -0.16304145496286349 0.11197136890696688 62.537956601287014
860 8.5999999999999996 312230.46038077166 -515633.86069093144 -203403.40031015978 -0.16510432098503527 0.11247487477659913 63.268386243757583
870 8.7000000000000011 319623.92939895851 -521972.79403252911 -202348.8646335706 -0.16716718700720806 0.11297838064623053 63.998111542456854
880 8.8000000000000007 330447.55933382642 -531107.66452079255 -200660.10518696613 -0.16923005302938043 0.1134818865158638 64.727677537797405
890 8.9000000000000004 327688.84409506636 -527111.90833935048 -199423.06424428412 -0.17129291905155283 0.11398539238549851 65.457692195745921
900 9 323786.37750822102 -520836.93542331352 -197050.5579150925 -0.17335578507372709 0.11448889825512977 66.18812803616251
910 9.0999999999999996 315967.0767917537 -511859.34529125708 -195892.26849950338 -0.17541865109589966 0.11499240412476146 66.918713765605133
920 9.2000000000000011 313568.49549998867 -509256.04607050243 -195687.55057051376 -0.1774815171180727 0.11549590999439381 67.649101815060121
930 9.3000000000000007 303913.99550023058 -499650.84184043418 -195736.8463402036 -0.17954438314024371 0.11599941586402682 68.379133635317487
940 9.4000000000000004 302394.55431768333 -497157.6535881884 -194763.09927050507 -0.18160724916241988 0.11650292173366185 69.108397574263506
950 9.5 307297.88643193705 -501787.34274546144 -194489.4563135244 -0.1836701151845927 0.1170064276032925 69.836799110829404
960 9.5999999999999996 324684.06551304139 -518181.66513445298 -193497.59962141159 -0.18573298120676221 0.11750993347292397 70.564798809178967
970 9.7000000000000011 323693.39481922 -515156.40524509305 -191463.01042587304 -0.18779584722893555 0.11801343934255921 71.293294835394036
980 9.8000000000000007 318374.61148267891 -507506.96643580851 -189132.3549531296 -0.18985871325110859 0.11851694521219487 72.022419062327657
990 9.9000000000000004 317326.6567392351 -505038.12785717612 -187711.47111794102 -0.19192157927327982 0.11902045108182385 72.751967323621727
1000 10 318592.92780985509 -503382.20653257979 -184789.2787227247 -0.19398444529545611 0.11952395695145368 73.48193580789534
