# step time kinetic potential total_energy com_x com_y rms_radius
170 1.7 103679.31820557608 -210408.95574209405 -106729.63753651797 -0.14490411366468842 0.042723047294502069 7.358224906368001
180 1.8 120082.6352617698 -227332.1206313138 -107249.485369544 -0.14646600860059869 0.042070340733058972 7.9700074198116653
190 1.9000000000000001 127264.98636610738 -232314.34358520992 -105049.35721910255 -0.14802790353650858 0.04141763417161607 8.5586029255536147
200 2 127435.26663427481 -233125.99871902508 -105690.73208475027 -0.14958979847241888 0.040764927610172801 9.1352260137063794
210 2.1000000000000001 138286.00247026642 -243586.01936844664 -105300.01689818021 -0.15115169340832885 0.040112221048729864 9.7038915765258107
220 2.2000000000000002 126440.09825689778 -229259.30591477136 -102819.20765787359 -0.15271358834423907 0.039459514487287142 10.271534223497046
230 2.3000000000000003 115120.70513946317 -217925.47271529393 -102804.76757583076 -0.15427548328014856 0.038806807925844088 10.83153973400327
240 2.3999999999999999 115012.91836434098 -217144.58466641873 -102131.66630207775 -0.15583737821605945 0.038154101364401047 11.378628719108866
250 2.5 113461.0750726983 -214862.26040619149 -101401.18533349319 -0.15739927315196869 0.037501394802957826 11.914174445867134
260 2.6000000000000001 108876.92716177898 -209944.37846856008 -101067.45130678111 -0.1589611680878788 0.036848688241514993 12.437909185149358
270 2.7000000000000002 116699.11953766031 -218131.38113396632 -101432.26159630601 -0.16052306302378941 0.036195981680071973 12.950649337350946
280 2.8000000000000003 109228.45222798463 -208744.72650221564 -99516.274274231007 -0.16208495795969957 0.035543275118628988 13.456885647015053
290 2.8999999999999999 109606.35279184203 -209044.80136743162 -99438.448575589588 -0.16364685289560982 0.034890568557185982 13.954688592527958
300 3 109729.3188928125 -208680.78616405377 -98951.467271241272 -0.16520874783151945 0.034237861995742996 14.444970551249758
310 3.1000000000000001 110669.35207200491 -209216.99470234907 -98547.642630344155 -0.16677064276742934 0.033585155434299907 14.928826770941367
320 3.2000000000000002 123550.16694107185 -221341.21237548563 -97791.045434413783 -0.16833253770333992 0.032932448872856526 15.408537137860327
330 3.3000000000000003 131704.15266892643 -228780.94011686186 -97076.787447935436 -0.16989443263925022 0.032279742311413617 15.890048080192614
340 3.3999999999999999 150418.27504426704 -245274.45179353128 -94856.176749264239 -0.17145632757515999 0.031627035749970542 16.37865053313897
350 3.5 142980.48946601825 -236947.9876313282 -93967.498165309953 -0.17301822251107007 0.030974329188527404 16.880770588687412
360 3.6000000000000001 124254.3827318681 -217014.16114551513 -92759.778413647029 -0.17458011744697985 0.030321622627084457 17.393126360024372
370 3.7000000000000002 112150.81479346524 -204601.23400424764 -92450.419210782406 -0.17614201238288979 0.029668916065641437 17.907342442532908
380 3.8000000000000003 113207.75903232997 -205142.0870344757 -91934.328002145732 -0.17770390731880037 0.029016209504199014 18.418526172996966
390 3.8999999999999999 110951.8837190514 -202751.33101509543 -91799.447296044033 -0.17926580225471003 0.028363502942755033 18.927277885125399
400 4 110928.42349461773 -202575.94688010341 -91647.523385485678 -0.18082769719062031 0.027710796381312602 19.433426519376415
410 4.0999999999999996 108056.16265571318 -198469.81290010631 -90413.650244393124 -0.18238959212652964 0.027058089819869506 19.937158069766411
420 4.2000000000000002 104480.54667907838 -194416.34466669566 -89935.797987617276 -0.18395148706244061 0.026405383258425737 20.437782077789425
430 4.2999999999999998 106637.57439209055 -197259.58206171214 -90622.007669621584 -0.18551338199835049 0.025752676696983411 20.934255299282377
440 4.4000000000000004 109935.82119333823 -199358.31660762621 -89422.495414287987 -0.18707527693426079 0.025099970135540443 21.427733799146715
450 4.5 108778.5662659948 -198198.71977052532 -89420.153504530521 -0.18863717187017065 0.024447263574097378 21.91977882747339
460 4.6000000000000005 106814.55123657308 -195140.34224201666 -88325.791005443578 -0.19019906680608048 0.0237945570126551 22.410184102417059
470 4.7000000000000002 102761.87269074243 -191820.50037476548 -89058.627684023057 -0.19176096174199081 0.023141850451211508 22.898347861809789
480 4.7999999999999998 104077.42404533629 -192281.55991861341 -88204.135873277119 -0.19332285667790139 0.022489143889768779 23.383286230746222
490 4.9000000000000004 107258.86537705926 -194383.85570268577 -87124.99032562651 -0.19488475161381061 0.021836437328325284 23.865552382886225
